,ID,Tweet Text,Human_Rating,Google_Rating
1,1,It's almost as if people are exactly who they say they are https://t.co/MnWFXZd9c3,0,0
2,2,"@Slate Conservative media: Yes, Trump's response to Charlottesville was bad, but what about Obama? https://t.co/jjINXL5Qp0 via @slate",0,0
3,3,👀 https://t.co/qeyzYeblwu,0,0
4,4,😂 😂 😂 Karma really isn't wasting time.. https://t.co/JYRqf6vlSX,-1,-1
5,5,"After Charlottesville, Black Lives Matter Issues New Demand - https://t.co/Vuw3IvrhL2",0,0
6,6,@seanhannity @JaySekulow @GreggJarrett https://t.co/WHL01vNZKN,0,0
7,7,Charlottesville Victim Heather Heyer’s Family Asks Mourners to Wear Purple to Memorial Held… https://t.co/iAcW8vi59H,1,0
8,8,"""\""I like getting the facts\""\nThis is literally the first time he's been the least bit concerned about honesty and attention to detail https://t.co/3wyAHEzME1""",0,0
9,9,"Meet Trump's ""very fine people"" who only wanted to peacefully defend a statue in #Charlottesville https://t.co/9ycHbJjQoe",0,0
10,10,The president who wanted Barack Obama to name radical Islam should take his own advice and be forceful — @EWErickson https://t.co/AO4ROrGazw,0,0
11,11,"glad our ""very fine"" president is defending Nazi's and racists now tho https://t.co/RdA3Koalu3",-1,0
12,12,"Trump ve ""culpa de ambas partes"" en acto racista de Charlottesville https://t.co/pQYvsCDYPJ",0,0
13,13,"@matthewamiller Trump missed big opportunity here, he could have blamed Obama for Charlottesville, after all, he is black!",0,0
14,14,TFW Your dignity slowly backs out  of your body and behind a curtain. https://t.co/xlXx34QJvt,0,0
15,15,Watching President Trumps remarks on the recent activities on Charlottesville disgusts me.,-1,-1
16,16,"""God BLESS #Charlottesville mayor! He's taking leadership to acknowledge #HistoricRacism &amp; expose #CurrentRacism of #TRUMP! #ImpeachTrump https://t.co/vYgP5N0kyS""",1,0
17,17,"@CNNPolitics @Potus @realDonaldTrump YES they WERE!!!!! 
#Charlottesville",0,0
18,18,@PastorDScott at 9:20am tomorrow to talk about Charlottesville and the media's tripling down on the lies and chaos. https://t.co/20t4XKWvEI,-1,0
19,19,#Charlottesville is going to be broke financially real soon. Functionally Democrats are treating it like their Banana Republic already.,-1,-1
20,20,Absolutely unreal. https://t.co/qlxH9AR9w8,0,0
21,21,#Charlottesville #Shrek https://t.co/C5HifeSof4,0,0
22,22,This is straight from the WH talking points. https://t.co/m9PsFD9epL,0,0
23,23,"""Stand up! family! All you have to do is flip the dam script intellectually covertly ask them mutha fuckers you #Commonlaw or #AdmiraltyLaw https://t.co/GdUZZC9O7E""",0,0
24,24,"""Thank you @UnderArmour for having a moral backbone. Will be purchasing from you soon #Charlottesville #dotherightthing https://t.co/jtGPmKUrP2""",1,0
25,25,"""Hope @IvankaTrump's catching up on all the meditation she missed during the campaign. #Useless #OxygenThief https://t.co/R9etJgSgwQ https://t.co/I4QL0UjWZe""",-1,0
26,26,"@Some_BlackGuy Hey thats raci-
LEft: Hey , u want what happened to Charlottesville to happen again? https://t.co/SB3X7Ll3Qv",0,0
27,27,Charlottesville White Supremacist Rally - The Jim Jefferies Show https://t.co/uEPjsLsHtI via @YouTube,0,0
28,28,Here are the Confederate memorials that will be removed after Charlottesville,0,0
29,29,"""WHAT THE MOTHERFUCKING FUCK⁉️❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓❓‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️‼️❔❔❔❔‼️❔ https://t.co/SIi6xE9oJa""",-1,-1
30,30,Horrifying. https://t.co/zDw36YmX0E,-1,0
31,31,Why The Hell Did The Charlottesville Cops Stand Down? https://t.co/F7Sb4GvHfc,0,-1
32,32,.@Potus thought these Nazis were nice fellows. @stevenmnuchin1 &amp; @SecElaineChao Chao stood w/him  &amp; didn't resign.  https://t.co/PvqKQOsgqf,-1,0
33,33,Pull out of the council. https://t.co/Jc6zRAxEUU,0,0
34,34,Before the body count really rises #charlottesville /end,0,0
35,35,We need more @logan's in our world. #resist #Impeach45 #25thamendment https://t.co/dOwPvr5Ll9,-1,0
36,36,"#GOP, anyone supporting Trump now will B judged accordingly! https://t.co/vUwEYzb3bC",0,0
37,37,Trump again places blame for Charlottesville violence on 'both sides' https://t.co/GRrIh3Up1m #ResistTrump,0,0
38,38,I wonder if @SarahPalinUSA thinks the Nazi rally in #Charlottesville hearkens back to Nazi Germany. https://t.co/d96m3Ng0rr,0,0
39,39,"""When you know she should have swallowed instead! #ImpeachTrump #CNN #FoxNews #POTUS #MSNBC #Charlottesville #impeach #potus45 #Impeach45 https://t.co/nLaPiHmqMX""",-1,0
40,40,Obama's Charlottesville response just became most-liked tweet in history https://t.co/15T2cxEdIU via @mashable,1,1
41,41,The latest The https://t.co/aAfrKy8fyL Daily! https://t.co/fjSOQA3x8C Thanks to @wendi_c_thomas #ad #charlottesville,0,0
42,42,"""As if @realDonaldTrump opening his own mouth wasn't enough to show what a complete piece of shit he is, here's all the proof you need... https://t.co/XoCpd9NxMQ""",-1,-1
43,43,"""I'm at a loss for words. Horrifying is all that comes to mind.\n\nIf you haven't already, please watch this in it's entirety. https://t.co/pljJGEhM4W""",-1,0
44,44,"""@angoisssant @RegularBlack_ Donald Trump, this is the type of supporter you have, Republican Nazi sympathizer. Doesn't it make you proud?  https://t.co/d9VHhMVGN3""",-1,0
45,45,"Thank you, @Merck @UnderArmour @intel &amp; @AFLCIO for taking a stand against @realDonaldTrump and his #HateNews about #Charlottesville.",1,0
46,46,Please enact #25thAmendmentNow This man is unfit for the office. He must be removed. #ImpeachTrumpNow https://t.co/fSlSebVWR7,-1,0
47,47,"Chuu.. La tierra de la libertad, en la caca https://t.co/4aOeXxvpmX",0,-1
48,48,The latest The Smashing Mag Daily! https://t.co/tYHUhwyvwz #gameofthrones #charlottesville,0,1
49,49,#Trump on #Charlottesville https://t.co/aClH6F4NMV,0,0
50,50,"""Stopped watching Hollywood dribble mouth  just info com for Hollywood movies  actors go on and tell some fake story to promote movie https://t.co/EZjVg462WX""",-1,-1
51,51,Analysis | Trump puts a fine point on it: He sides with the alt-right in Charlottesville https://t.co/zeAfMFKHeY,1,0
52,52,"""No Mike-During Calvin Coolidge era 50,000 masked sheeted Klansmen paraded down Pennsylvania Ave-\""Media&amp;Left\"" had not even been invented then https://t.co/JxlFFETmE4""",-1,-1
53,53,Great company you keep Republicans. https://t.co/nB8CRJlzXb,1,1
54,54,Whatever https://t.co/Mo2L1rF0qp,0,0
55,55,"""Needs to be retweeted over and over - if that will do any good. Facts don't matter to the left. #Charlottesville #Liberals https://t.co/8SFYqhg18c""",-1,0
56,56,"How about we all go back to work, take care of our families, and treat each other decently? #antifa #blm #charlottesville #racists",1,-1
57,57,How telling... https://t.co/JPnzvIZx23,0,0
58,58,@realDonaldTrump @FLOTUS @IvankaTrump @DonaldJTrumpJr 😂😂😂 https://t.co/LQxbjCBHrx,0,0
59,59,Latest: Donald Trump defends those who descended on Charlottesville to protest Confederate statue’s removal https://t.co/TUtQ5ItIci,0,0
60,60,Why would you write a headline like that https://t.co/OFdRI9hwfu,-1,0
61,61,how the fuck is every water cooler convo at my office about the fucking moon and not Charlottesville,-1,-1
62,62,"""@jaketapper @brianstelter @amjoyshow @CNN @MSNBC @FoxNews @DanaPerino @BretBaier\nAsk #Charlottesville Mayor Gov Va\nWho told police standdown https://t.co/boXahNz1KL""",0,0
63,63,Race and Terror. Vice News had complete coverage of what went down in Charlottesville. https://t.co/l7cD1LOXVY,0,0
64,64,Un corto documental que toda persona debería ver. https://t.co/QnsZV4Hutp,0,1
65,65,@MittRomney 👇 https://t.co/BARycFwQyi,0,0
66,66,"""@CyAn0g3n pour être clair je parle de ce qui s'est passé à Charlottesville, pas en France. et pour ce dont je parle je le considère comme un terrorist""",0,0
67,67,"""@osullivanauthor BOTH SIDES ARE BLAMED BUT honestly, ALL RIOTS STARTED W/ HILLARY, SOROS, OBAMA! DARE TO DIE 4 THEM? #Charlottesville https://t.co/0pN7ZgV3sE""",-1,0
68,68,Trump Just Went On An Angry Defense Of The Racists In Charlottesville And Confederate Monuments https://t.co/GLCAECNEgG #スマートニュース,-1,0
69,69,"Heather Heyer, Charlottesville Victim, Called ‘a Strong Woman’ Her supervisor said that Ms. Heyer, a paralegal, wa… https://t.co/HJg3UxGY4e",0,0
70,70,"""How can I reconcile myself to the leader of my country whose morals are absent? ¯\\_(ツ)_/¯ Answer: you don't. #ImpeachTrump https://t.co/qM8N97LVAI""",-1,0
71,71,#impeachtrump https://t.co/ksVGlDrEUf,-1,0
72,72,"""And that is right \nBoth sides are racist and bigoted \nYou're just proving how stupid you really are to think otherwise https://t.co/4BlLulE8S6""",-1,-1
73,73,I'm not surprised. This man spoke and acted from his heart and soul. https://t.co/edVS24IRqY,1,0
74,74,"""@RevDaniel Genuine question-as someone who is opposed to white supremacy (obvs)&amp; Charlottesville events-have there been any shootings by citizens?""",0,0
75,75,Racism &amp; violence are not free speech—that is hatred. There is no place in this country for hatred #No2Sides #Charlottesville,-1,-1
76,76,I've had Republicans give me more shit for my freedom of speech as an Atheist than they gave the Nazis this weekend in #Charlottesville,-1,-1
77,77,"""@DemSocialists thank you antifa, DSA, and other groups @Charlottesville for protecting peaceful counter protesters and city. Well done. https://t.co/vdkb2IpCTS""",1,1
78,78,"Charlottesville violence is all hate from one very WRONG, evil side. @CoryGardner @marcorubio @tedcruz Act. Sack up. @POTUS needs to go.",-1,0
79,79,"""If @jimmyfallon needs a lesson on how to be a real American, pushing back Nazis, look no further than @sethmeyers who has always been there. https://t.co/fvyNbwx3Ut""",-1,0
80,80,I stand with Pres. Trump. You would to be blind to not see how violence was indeed on both side. #bothsidesguilty https://t.co/sIUmeWzUSA,-1,0
81,81,"NC KKK leader says he glad a protestor died in Charlottesville, Virginia | Charlotte Observer #SmartNews  https://t.co/f5zTz0iFVk",-1,0
82,82,"""I no longer have blind faith in LEO.  Stand down? What kind of cop stands down and lets people get hurt and die?  #Charlottesville https://t.co/nzv4MrqQcY""",-1,0
83,83,"Must read #Charlottesville 
https://t.co/CHRKiSJqwx",0,0
84,84,Heather Heyer's father living his religious convictions. #Respect 👊🏽 https://t.co/nQgKlOr2bi,0,0
85,85,"""@realDonaldTrump \nNo, \""both sides\"" are not responsible for a Nazi terrorist murdering a woman in Charlottesville. Do your job. WWII vets r 👁 https://t.co/FYIwMkBPOd""",-1,0
86,86,"Today in ""duh news"": Trump just completely spews bullshit https://t.co/eO6JVfT5T7",-1,-1
87,87,Any chance @jimmyfallon can be a mid-season replacement for POTUS? https://t.co/AViSLCfxTy,0,0
88,88,"""If you're professing to be surprised right now, you haven't been paying attention."" @jarvisdeberry on Trump's response 2 charlottesville",0,0
89,89,Trump says ‘alt-left’ also to blame for Charlottesville violence – World https://t.co/lkvk6nAISG,0,0
90,90,Read the complete transcript of Donald Trump's remarks on Charlottesville https://t.co/XhxtO2lFMn https://t.co/5rGa0WUne3,0,0
91,91,"""Hey @jaredkushner per these racists, even ur dad in law is stupid for allowing his daughter to marry a Jew. No ones wrong tho..right? https://t.co/2cPdcDntJD""",-1,0
92,92,It is love and not hate #Virginia #Charlottesville #CharlottesvilleVA that will change our world... https://t.co/yFsLvfRFQR,1,1
93,93,what happened to the person drivin the car https://t.co/FxxQQgxO32,0,0
94,94,"""\""Rama: It [#Charlottesville] was planned for MONTHS not weeks.\nCops &amp; National Guard did NOTHING to help the people they stood by.\"" https://t.co/UHMJS9oTMs""",-1,0
95,95,Felicita Ku Klux Klan a @realDonaldTrump por 'decir la verdad' sobre Charlottesville https://t.co/FQLsVNuKy6,0,0
96,96,Shut the fuck up🙄 https://t.co/FpS2N5mzVA,-1,-1
97,97,"@SethAbramson Worth researching--Trump's father arrested member of KKK:
 https://t.co/eE5Iyphy8H",0,0
98,98,The First and Second Amendments clashed in Charlottesville. The guns won: https://t.co/IHuhVByGLr via @slate,0,0
99,99,Trump Defends Initial Remarks on Charlottesville; Again Blames ‘Both Sides’ https://t.co/RveV7AejoN,0,0
100,100,Dictatorship around the corner. https://t.co/Vc27DUSgrP,0,0
101,101,Mr. Trump Makes a Spectacle of Himself via @NYTimes https://t.co/3a2BlkmiWR,0,1
102,102,Obama's Charlottesville response just became most-liked tweet in history ►https://t.co/Y6ibTory20 https://t.co/LyD2mopHxh,1,0
103,103,"""@clayaiken @realDonaldTrump Awesome Clay u r my hero now.\n@DeplorableDani2 u see people turning around\n#Charlottesville #TuesdayMotivation #ImpeachTrump""",1,1
104,104,Courage? This is the exact opposite of courage -- calculated cowardice to divide the country for political gain. https://t.co/P5lIVXItYQ,-1,0
105,105,This is simply unbelievable! https://t.co/VfJaPN9bP1,0,1
106,106,"Owen Jones | ""Who has fanned the flames of fascism? Our politicians and newspapers"" #Charolettesville 

https://t.co/EpAZHVRVAk",0,0
107,107,"My #whitewomen, my family, it's time to stand up. https://t.co/1WT0DnRWfQ Stand with me. Fight this bullshit. #FightRacism #Charlottesville",-1,0
108,108,"""The Charlottesville City Council apparently doesn't care about RACISM.\n\nKessler, a white racist, went up against Bellamy, a black racist. https://t.co/MmTIaYBYD8""",-1,0
109,109,""".@donculo6y, HuffPost\nThis could have been prevented by an engaged, competent police chief. Permit required? #inept #firehim #govstepdown https://t.co/koMkKAuHpK""",0,0
110,110,"""If General Kelly and the rest of the administration continue to serve this \""president\"" they are empowering a nazi sympathizer. https://t.co/FHqgaG56Mq""",-1,0
111,111,they better get eveRY 👏🏽DAMN 👏🏽PENNY👏🏽 https://t.co/oK0iPAfxpb,0,0
112,112,Why won't you report that it's true wtf? https://t.co/YQ0chqCOSw,-1,0
113,113,This bitch is an idiot. https://t.co/qVhwuATGbR,-1,0
114,114,Tomato 🍅 tomato 🍅 ¯\_(ツ)_/¯ https://t.co/0cYt2f5Cwf,0,0
115,115,Journalists can learn from @realDonaldTrump's unbiased &amp; logical viewpoint on #Charlottesville. #EarthTo @JimAcosta  https://t.co/b9vspGPM7r,1,1
116,116,Unvarnished Trump fuels Charlottesville flames https://t.co/cfmYJl3ySF,0,0
117,117,"""In solidarity with Charlottesville rally, with fellow BergenNJ @MomsDemand. This past weekend was awful but we #KeepGoing to fight hate. https://t.co/GDDdq0dyCe""",-1,0
118,118,... Because looky here. This is what happens when an officer is truly afraid: nothing. https://t.co/rkcDXX1o8Y,-1,0
119,119,He sounds so fucking stupid https://t.co/Hin3h7UVji,-1,-1
120,120,94件のコメント https://t.co/hvSKHneVAt “町山智浩　バージニア州白人至上主義者集会の衝突事件を語る” https://t.co/e5SqA0UV2Y #news #アメリカ #Charlottesville,0,1
121,121,Here are the Confederate memorials that will be removed after Charlottesville https://t.co/M7an77uyIJ,0,0
122,122,Trump Gives White Supremacists an Unequivocal Boost via @NYTimes https://t.co/2q5NgOnowU,1,0
123,123,Feeling hopeless after Charlottesville? 16 ways you can make a big difference. https://t.co/7YoroElq0j,1,0
124,124,"""@chuckschumer @RepMaxineWaters @SenWarren @dnc @mikewagles @JLPtalk @MadisonCoGOP @DRUDGE_REPORT @LouDobbs @TEN_GOP @MarkDice @AP #MAGA https://t.co/aCh2MlvjzO""",0,0
125,125,Pro tip: always attack the media after a national tragedy https://t.co/RQzuv7MTdc,-1,0
126,126,"With teamwork and hustle, Toledo Blade dominated after Charlottesville attack https://t.co/0iarZS8Cub via @cjr",1,1
127,127,"""@fkgator @stevennelson899 @PrincessBravato Donald Trump, this is the type of supporter you have, Republican Nazi sympathizer. Doesn't it make you proud?  https://t.co/d9VHhMVGN3""",-1,0
128,128,Charlottesville https://t.co/fpAvzgfTST,0,0
129,129,Trouble flared again in Charlottesville Tuesday. Residents say they're on edge https://t.co/lLs8PYBpWd https://t.co/7AyjkemxdP,-1,0
130,130,We live in the era of the man-baby. Man-babies everywhere legitimately feel so empowered because of this one. https://t.co/9RRJIaqiIC,-1,1
131,131,"@aliGinSD @PGAngie1 Really? She wants u and ur family in a fucking FEMA camp. Try researching. 

https://t.co/mj29egYJtn",-1,0
132,132,KILL SHOT: Trump Just Told Everyone Who Was REALLY Behind the Violence in Charlottesville https://t.co/XNaJdsBzkC via @liberty_writers,0,0
133,133,"82nd Airborne  responds to man wearing hat at Charlottesville protests
https://t.co/eUL6HHJKjz",0,-1
134,134,"In 1 tweet, Barack Obama shows that he's a master of emotional intelligence. @MindaZetlin @BarackObama https://t.co/rmLBbp6J7q via @Inc",1,0
135,135,"also hi I'm gonna express an unpopular belief here

not everyone who went to the charlottesville protest was a white supremacist/neo-Nazi",0,0
136,136,"And with this, I'm done. Good night. https://t.co/mtVlVveJss",0,1
137,137,Facebook Gave a Neo-Nazi Website a Huge Assist in Spreading Hate After Charlottesville | Alternet https://t.co/mNAxoN9kgy,-1,-1
138,138,"""@SenToomey Your low-key response to #Charlottesville does not do enough. We have a problem in the country and our leaders need to be more vocal.""",-1,0
139,139,"Trump 'entirely correct' to blame both sides for Charlottesville violence, White House says https://t.co/NyYfOTQ6uR #FoxNews #Fox #News #P…",1,-1
140,140,Barack Obama's response to the violence in Charlottesville is now one of the most popular tweets ever https://t.co/8yh2CtC1Bj,1,1
141,141,"""Après Charlottesville, le clip de ""They don’t Care About Us"" devient un symbole de la lutte antiraciste"" https://t.co/xdInQGxy0s #blog",0,1
142,142,Vice ily ❤️ https://t.co/hwRvypdguY,0,1
143,143,Positive emotion triumphs negative emotion every time! https://t.co/biYluvxJYs,1,0
144,144,"Hey, @GOP, WTF?? #ImpeachTrump #NazisInTheWhiteHouse #Charlottesville https://t.co/deEXHFldKe",-1,0
145,145,"""We were there to protest the removal of a statue, as we did in May, with no problems. Antifa were the violent, racist ones. https://t.co/ZjzoVzLaC6""",-1,0
146,146,"In a segment called ""Recurring Nightmare,"" @maddow shows stills of #Charlottesville with voice over of Trump's defense today. #maddow @MSNBC",-1,0
147,147,What. https://t.co/wXgGz0haCI,0,0
148,148,What A Jewish Journalist Saw In Charlottesville https://t.co/nSeignghhI via @jdforward,0,0
149,149,I thought you fired the guy. https://t.co/kvA32qrY01,0,0
150,150,How come this is not reported by the Media? https://t.co/xPntPm0GPy,-1,0
151,151,@ladygaga @realDonaldTrump @POTUS https://t.co/CRfcLl63aK,0,0
152,152,"Charlottesville: pour Trump, les torts étaient ""des deux côtés"" sur Orange Actualités https://t.co/z6jUVRbUX0",0,0
153,153,🤘🏼 https://t.co/n6z95k7I0D,0,0
154,154,"#EvangelicalLogic

1 abortion = crime, sin, abomination 

Murder of 6 million Jews = Meh...

#ImpeachTrump #Charlottesville",-1,-1
155,155,"@jaketapper Which he should've kept in, because it was true. https://t.co/kzahUeP4w0 and https://t.co/QbCLfg08wU",0,0
156,156,@RepMaxineWaters THE ONLY REASON you scream RACISM at @POTUS is because for DECADES U have done NOTHING for blacks https://t.co/DVZidu0LAT,-1,-1
157,157,Relevant words by #AliceWalker #poetry #Charlottesville #WhiteSupremacy #Racism #BlackLivesMatter https://t.co/TeugjaRPGj,0,-1
158,158,"""I'm just hurt too and @realDonaldTrump-you are too stupid to know the difference between George Washington and Robert E. Lee, who rebelled. https://t.co/CxTFndYLLH""",-1,0
159,159,"""@AllDaySportTalk Lebron blamed Trump for the Charlottesville thing. So the attacks by muslims under Obama are obamas fault because he wouldn't condemn them?""",-1,0
160,160,@BretBaier https://t.co/VIbJ007wAE,0,0
161,161,When even Texas' most despicable politician does better than Trump............... https://t.co/ifGcZSRLxJ,0,0
162,162,"Trump has won an election just on basis of ""Pathos"" appeal. This is a prime example of Rhetorics. 

#Trump #ImpeachTrump #Charlottesville",-1,0
163,163,@generalelectric @Boeing @LockheedMartin @Walmart @pepsi RESIGN FROM TRUMP'S ECON COUNCIL NOW. #Charlottesville #shameonyou,0,0
164,164,@morphiousSC @heyitsaaron @FoxNews I agree offense has it's place. That's why the anti-protestors were in Charlottesville.,0,0
165,165,"""米国社会の分断：差別主義、トランプ政権で勢い\n#外務省　#渡航禁止　#企業　#自治体　#学生　#大学生\n#Virginia #Charlottesville #JamesAlexFields\n#Trump: \""What are we teaching our children?\"" https://t.co/7OmTKwToxu""",0,1
166,166,Anyone gonna be shopping at Wal-Mart? I'm just asking https://t.co/cvFrtThcM3,0,0
167,167,"""Which Statues are NEXT??"" Tucker Issues Warning after Charlottesville https://t.co/xwYpfYfbEz",-1,0
